state,block,depth,estimated,inc/dec
goa,nagorcem/palolem,20-40,0,0
goa,nagorcem/palolem,40-60,0,0
goa,nagorcem/palolem,60-70,0,0
goa,nagorcem/palolem,70-90,6,1
goa,nagorcem/palolem,90-110,0,0
goa,nagorcem/palolem,110-130,0,0
goa,nagorcem/palolem," 130-150",0,0
goa,nagorcem/palolem,>150,0,0
goa,poinguinim,0-20,0,-2
goa,poinguinim,20-40,0,0
goa,poinguinim,40-60,0,0
goa,poinguinim,60-70,0,0
goa,poinguinim,70-90,2,1
goa,poinguinim,90-110,0,0
goa,poinguinim,110-130,0,0
goa,poinguinim," 130-150",0,0
goa,poinguinim,>150,0,0
goa,shristhal,0-20,1,0
goa,shristhal,20-40,0,0
goa,shristhal,40-60,0,0
goa,shristhal,60-70,0,0
goa,shristhal,70-90,10,5
goa,shristhal,90-110,0,0
goa,shristhal,110-130,0,0
goa,shristhal," 130-150",0,0
goa,shristhal,>150,0,0
goa,piliem,0-20,2,1
goa,piliem,20-40,0,0
goa,piliem,40-60,0,0
goa,piliem,60-70,0,0
goa,piliem,70-90,2,1
goa,piliem,90-110,0,0
goa,piliem,110-130,0,0
goa,piliem," 130-150",0,0
goa,piliem,>150,0,0
goa,mormugao,0-20,2,1
goa,mormugao,20-40,0,0
goa,mormugao,40-60,0,0
goa,mormugao,60-70,0,0
goa,mormugao,70-90,0,-1
goa,mormugao,90-110,0,0
goa,mormugao,110-130,0,0
goa,mormugao," 130-150",0,0
goa,mormugao,>150,0,0
goa,quelossim,0-20,0,0
goa,quelossim,20-40,0,0
goa,quelossim,40-60,0,0
goa,quelossim,60-70,0,0
goa,quelossim,70-90,0,-2
goa,quelossim,90-110,0,0
goa,quelossim,110-130,0,0
goa,quelossim," 130-150",0,0
goa,quelossim,>150,0,0
goa,sancoale,0-20,1,-1
goa,sancoale,20-40,0,0
goa,sancoale,40-60,0,0
goa,sancoale,60-70,0,0
goa,sancoale,70-90,0,0
goa,sancoale,90-110,0,0
goa,sancoale,110-130,0,0
goa,sancoale," 130-150",0,0
goa,sancoale,>150,0,0
goa,curchorem,0-20,2,1
goa,curchorem,20-40,0,0
goa,curchorem,40-60,0,0
goa,curchorem,60-70,0,0
goa,curchorem,70-90,0,0
goa,curchorem,90-110,0,0
goa,curchorem,110-130,0,0
goa,curchorem," 130-150",0,0
goa,curchorem,>150,0,0
goa,sulkarna,0-20,1,0
goa,sulkarna,20-40,0,0
goa,sulkarna,40-60,0,0
goa,sulkarna,60-70,0,0
goa,sulkarna,70-90,2,1
goa,sulkarna,90-110,0,0
goa,sulkarna,110-130,0,0
goa,sulkarna," 130-150",0,0
goa,sulkarna,>150,0,0
goa,cavalossim,0-20,3,1
goa,cavalossim,20-40,0,0
goa,cavalossim,40-60,0,0
goa,cavalossim,60-70,0,0
goa,cavalossim,70-90,0,0
goa,cavalossim,90-110,0,0
goa,cavalossim,110-130,0,0
goa,cavalossim," 130-150",0,0
goa,cavalossim,>150,0,0
goa,dramapur,0-20,2,1
goa,dramapur,20-40,0,0
goa,dramapur,40-60,0,0
goa,dramapur,60-70,0,0
goa,dramapur,70-90,0,0
goa,dramapur,90-110,0,0
goa,dramapur,110-130,0,0
goa,dramapur," 130-150",0,0
goa,dramapur,>150,0,0
goa,margao,0-20,0,-1
goa,margao,20-40,0,0
goa,margao,40-60,0,0
goa,margao,60-70,0,0
goa,margao,70-90,0,0
goa,margao,90-110,0,0
goa,margao,110-130,0,0
goa,margao," 130-150",0,0
goa,margao,>150,0,0
goa,"sao jose de areal",0-20,13,6
goa,"sao jose de areal",20-40,0,0
goa,"sao jose de areal",40-60,0,0
goa,"sao jose de areal",60-70,0,0
goa,"sao jose de areal",70-90,0,0
goa,"sao jose de areal",90-110,0,0
goa,"sao jose de areal",110-130,0,0
goa,"sao jose de areal"," 130-150",0,0
goa,"sao jose de areal",>150,0,0
goa,camorcand,0-20,1,0
goa,camorcand,20-40,0,0
goa,camorcand,40-60,0,0
goa,camorcand,60-70,0,0
goa,camorcand,70-90,0,0
goa,camorcand,90-110,0,0
goa,camorcand,110-130,0,0
goa,camorcand," 130-150",0,0
goa,camorcand,>150,0,0
goa,moissal,0-20,1,0
goa,moissal,20-40,0,0
goa,moissal,40-60,0,0
goa,moissal,60-70,0,0
goa,moissal,70-90,2,1
goa,moissal,90-110,0,0
goa,moissal,110-130,0,0
goa,moissal," 130-150",0,0
goa,moissal,>150,0,0
goa,sigao,0-20,0,0
goa,sigao,20-40,0,0
goa,sigao,40-60,0,0
goa,sigao,60-70,0,0
goa,sigao,70-90,0,-1
goa,sigao,90-110,0,0
goa,sigao,110-130,0,0
goa,sigao," 130-150",0,0
goa,sigao,>150,0,0
